numero;nombre;apellido;partidos;goles;minutos;faltas;amarillas;rojas;asistencias
1;nombre1;apellido1;2;1;180;0;0;0;0
2;nombre2;apellido2;3;1;270;0;1;0;0
3;nombre3;apellido3;2;1;180;0;0;0;0
4;nombre4;apellido4;4;1;390;0;0;0;0
5;nombre5;apellido5;2;1;180;1;0;0;0
6;nombre6;apellido6;4;2;360;0;0;0;0
7;nombre7;apellido7;1;1;90;0;0;0;0
8;nombre8;apellido8;2;1;180;2;0;0;0
9;nombre9;apellido9;3;1;270;0;1;0;0
10;nombre10;apellido10;2;1;180;0;0;0;0
11;nombre11;apellido11;3;4;300;0;0;0;0
12;nombre12;apellido12;5;1;480;0;0;0;0
13;nombre13;apellido13;4;1;390;0;0;0;0
14;nombre14;apellido14;4;1;390;1;0;0;0
15;nombre15;apellido15;2;0;210;1;1;0;0
16;nombre16;apellido16;3;0;300;1;0;0;0
17;nombre17;apellido17;2;0;180;0;1;0;0
18;nombre18;apellido18;3;0;300;0;0;0;0
19;nombre19;apellido19;4;1;360;0;0;0;0
20;nombre20;apellido20;3;1;300;1;0;0;0
21;nombre21;apellido21;0;0;0;0;0;0;0
22;nombre22;apellido22;2;0;210;0;0;0;0
23;nombre23;apellido23;2;0;180;0;0;0;0
24;nombre24;apellido24;1;0;90;1;0;0;0
25;nombre25;apellido25;1;0;120;0;0;0;0
26;nombre26;apellido26;2;0;180;0;0;0;0
