numero;nombre;apellido;partidos;goles;minutos;faltas;amarillas;rojas;asistencias
1;nombre1;apellido1;1;1;90;0;0;0;0
2;nombre2;apellido2;0;1;0;0;0;0;0
3;nombre3;apellido3;1;2;90;0;0;0;0
4;nombre4;apellido4;1;1;90;0;0;0;0
5;nombre5;apellido5;3;1;270;1;0;0;0
6;nombre6;apellido6;2;1;180;1;0;0;0
7;nombre7;apellido7;3;1;270;0;0;0;0
8;nombre8;apellido8;0;1;0;0;0;0;0
9;nombre9;apellido9;3;1;270;1;0;0;0
10;nombre10;apellido10;5;1;450;0;0;0;0
11;nombre11;apellido11;0;1;0;0;0;0;0
12;nombre12;apellido12;3;1;270;0;1;0;0
13;nombre13;apellido13;2;1;180;0;1;0;0
14;nombre14;apellido14;2;1;180;1;0;0;0
15;nombre15;apellido15;3;2;270;1;0;0;0
16;nombre16;apellido16;2;2;180;1;0;0;0
17;nombre17;apellido17;3;0;270;2;0;0;0
18;nombre18;apellido18;4;0;360;1;0;0;0
19;nombre19;apellido19;1;0;90;0;1;0;0
20;nombre20;apellido20;2;1;180;0;0;0;0
21;nombre21;apellido21;4;0;360;0;0;0;0
22;nombre22;apellido22;3;0;270;0;1;0;0
23;nombre23;apellido23;1;0;90;0;0;0;0
24;nombre24;apellido24;2;0;180;0;0;0;0
25;nombre25;apellido25;2;0;180;0;0;0;0
26;nombre26;apellido26;2;1;180;0;0;0;0
