numero;nombre;apellido;partidos;goles;minutos;faltas;amarillas;rojas;asistencias
1;nombre1;apellido1;1;1;90;0;0;0;0
2;nombre2;apellido2;2;1;180;0;0;0;0
3;nombre3;apellido3;2;7;180;0;0;0;0
4;nombre4;apellido4;2;1;180;0;1;0;0
5;nombre5;apellido5;1;1;90;0;0;0;0
6;nombre6;apellido6;2;1;180;0;0;0;0
7;nombre7;apellido7;1;1;90;0;0;0;0
8;nombre8;apellido8;1;1;90;0;0;0;0
9;nombre9;apellido9;1;1;90;0;1;0;0
10;nombre10;apellido10;0;1;0;0;0;0;0
11;nombre11;apellido11;2;0;180;0;0;0;0
12;nombre12;apellido12;1;1;90;0;0;0;0
13;nombre13;apellido13;0;0;0;0;0;0;0
14;nombre14;apellido14;1;0;90;1;0;0;0
15;nombre15;apellido15;2;0;180;0;0;0;0
16;nombre16;apellido16;1;0;90;0;0;0;0
17;nombre17;apellido17;2;0;180;1;1;0;0
18;nombre18;apellido18;2;0;180;0;0;0;0
19;nombre19;apellido19;2;0;180;0;0;0;0
20;nombre20;apellido20;2;0;180;0;0;0;0
21;nombre21;apellido21;1;0;90;1;0;0;0
22;nombre22;apellido22;1;0;90;0;0;0;0
23;nombre23;apellido23;0;0;0;0;0;0;0
24;nombre24;apellido24;2;0;180;0;0;0;0
25;nombre25;apellido25;1;0;90;1;0;0;0
26;nombre26;apellido26;0;0;0;0;0;0;0
