numero;nombre;apellido;partidos;goles;minutos;faltas;amarillas;rojas;asistencias
1;nombre1;apellido1;4;1;360;1;2;0;0
2;nombre2;apellido2;4;1;360;0;0;0;0
3;nombre3;apellido3;3;1;300;1;0;0;0
4;nombre4;apellido4;4;1;390;2;1;0;0
5;nombre5;apellido5;1;1;90;0;0;0;0
6;nombre6;apellido6;2;1;180;1;0;0;0
7;nombre7;apellido7;1;1;120;0;0;0;0
8;nombre8;apellido8;2;1;210;1;0;0;0
9;nombre9;apellido9;3;1;270;1;0;0;0
10;nombre10;apellido10;2;2;180;0;0;0;0
11;nombre11;apellido11;3;0;300;2;1;0;0
12;nombre12;apellido12;2;3;210;1;0;0;0
13;nombre13;apellido13;3;0;270;0;0;0;0
14;nombre14;apellido14;2;0;180;0;0;0;0
15;nombre15;apellido15;4;0;390;0;0;0;0
16;nombre16;apellido16;1;0;90;0;0;0;0
17;nombre17;apellido17;1;0;90;1;0;0;0
18;nombre18;apellido18;3;0;270;0;0;0;0
19;nombre19;apellido19;2;0;210;0;0;0;0
20;nombre20;apellido20;2;0;180;1;0;0;0
21;nombre21;apellido21;3;0;270;1;0;0;0
22;nombre22;apellido22;2;1;180;0;0;0;0
23;nombre23;apellido23;5;0;480;1;0;0;0
24;nombre24;apellido24;4;2;390;0;0;0;0
25;nombre25;apellido25;1;0;90;0;0;0;0
26;nombre26;apellido26;2;0;210;0;0;0;0
